time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2020-01-05T00:00:00.000Z","LatLng(40.08, 116.6)","0.764493687","low","Invalid DateTime","JAXA","Sentinel-1","RED","ALOS-2"
"2020-01-19T00:00:00.000Z","LatLng(40.08, 116.6)","0.967791806","low","Invalid DateTime","JAXA","ALOS-2","RED","ALOS-2"
"2020-01-24T00:00:00.000Z","LatLng(40.08, 116.6)","0.577170832","low","Invalid DateTime","JAXA","Sentinel-1","RED","ALOS-2"
"2020-01-29T00:00:00.000Z","LatLng(40.08, 116.6)","0.655501159","low","Invalid DateTime","JAXA","Sentinel-1","RED","ALOS-2"
"2020-02-05T00:00:00.000Z","LatLng(40.08, 116.6)","0.585931461","low","Invalid DateTime","JAXA","Sentinel-1","RED","ALOS-2"
"2020-02-10T00:00:00.000Z","LatLng(40.08, 116.6)","0.656016491","low","Invalid DateTime","JAXA","Sentinel-1","RED","ALOS-2"
"2020-02-17T00:00:00.000Z","LatLng(40.08, 116.6)","0.658335481","low","Invalid DateTime","JAXA","Sentinel-1","RED","ALOS-2"
"2020-02-22T00:00:00.000Z","LatLng(40.08, 116.6)","0.732285493","low","Invalid DateTime","JAXA","Sentinel-1","RED","ALOS-2"
"2020-03-05T00:00:00.000Z","LatLng(40.08, 116.6)","0.388044318","low","Invalid DateTime","JAXA","Sentinel-1","RED","ALOS-2"
"2020-03-12T00:00:00.000Z","LatLng(40.08, 116.6)","0.721721206","low","Invalid DateTime","JAXA","Sentinel-1","RED","ALOS-2"
"2020-03-17T00:00:00.000Z","LatLng(40.08, 116.6)","0.890234476","low","Invalid DateTime","JAXA","Sentinel-1","RED","ALOS-2"
"2020-03-29T00:00:00.000Z","LatLng(40.08, 116.6)","0.84308168","low","Invalid DateTime","JAXA","ALOS-2","RED","ALOS-2"
"2020-03-31T00:00:00.000Z","LatLng(40.08, 116.6)","0.795413553","low","Invalid DateTime","JAXA","Sentinel-1","RED","ALOS-2"
"2020-04-05T00:00:00.000Z","LatLng(40.08, 116.6)","1.068539036","high","Invalid DateTime","JAXA","Sentinel-1","GREEN","ALOS-2"
"2020-04-17T00:00:00.000Z","LatLng(40.08, 116.6)","1.335222881","high","Invalid DateTime","JAXA","Sentinel-1","GREEN","ALOS-2"
"2020-04-28T00:00:00.000Z","LatLng(40.08, 116.6)","1.32079361","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2020-04-29T00:00:00.000Z","LatLng(40.08, 116.6)","1.322339603","high","Invalid DateTime","JAXA","Sentinel-1","GREEN","ALOS-2"
"2020-05-07T00:00:00.000Z","LatLng(40.08, 116.6)","1.070858026","normal","Invalid DateTime","JAXA","ALOS-2","BLUE","ALOS-2"
"2020-05-21T00:00:00.000Z","LatLng(40.08, 116.6)","0.911105385","normal","Invalid DateTime","JAXA","ALOS-2","BLUE","ALOS-2"
"2020-06-04T00:00:00.000Z","LatLng(40.08, 116.6)","1.099458902","high","Invalid DateTime","JAXA","Sentinel-1","GREEN","ALOS-2"
"2020-06-18T00:00:00.000Z","LatLng(40.08, 116.6)","1.030404535","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2020-07-02T00:00:00.000Z","LatLng(40.08, 116.6)","0.895903118","normal","Invalid DateTime","JAXA","ALOS-2","BLUE","ALOS-2"
"2020-07-07T00:00:00.000Z","LatLng(40.08, 116.6)","1.076269003","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2020-07-30T00:00:00.000Z","LatLng(40.08, 116.6)","1.119556815","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2020-08-13T00:00:00.000Z","LatLng(40.08, 116.6)","1.271321824","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2020-08-27T00:00:00.000Z","LatLng(40.08, 116.6)","0.916637961","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2020-09-10T00:00:00.000Z","LatLng(40.08, 116.6)","0.604891492","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2020-10-08T00:00:00.000Z","LatLng(40.08, 116.6)","0.506028247","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2020-11-05T00:00:00.000Z","LatLng(40.08, 116.6)","0.528763348","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2020-12-03T00:00:00.000Z","LatLng(40.08, 116.6)","0.581467447","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2020-12-31T00:00:00.000Z","LatLng(40.08, 116.6)","1.059249053","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2021-01-28T00:00:00.000Z","LatLng(40.08, 116.6)","0.863878746","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2021-02-11T00:00:00.000Z","LatLng(40.08, 116.6)","0.78886669","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2021-03-11T00:00:00.000Z","LatLng(40.08, 116.6)","0.702941784","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2021-04-08T00:00:00.000Z","LatLng(40.08, 116.6)","0.797189115","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2021-04-27T00:00:00.000Z","LatLng(40.08, 116.6)","0.974509128","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
"2021-05-06T00:00:00.000Z","LatLng(40.08, 116.6)","0.981054082","high","Invalid DateTime","JAXA","ALOS-2","GREEN","ALOS-2"
